As Of,NAV per Share
2024-05-16,78.91
2024-05-15,79.10
2024-05-14,78.45
2024-05-13,78.06
2024-05-10,77.86
2024-05-09,78.10
2024-05-08,77.90
2024-05-07,78.06
2024-05-06,78.18
2024-05-03,77.58
2024-05-02,77.02
2024-05-01,76.53
2024-04-30,76.76
2024-04-29,77.41
2024-04-26,77.18
2024-04-25,76.85
2024-04-24,77.06
2024-04-23,77.05
2024-04-22,76.41
2024-04-19,75.96
2024-04-18,76.29
2024-04-17,76.37
2024-04-16,76.57
2024-04-15,76.81
2024-04-12,77.64
2024-04-11,78.50
2024-04-10,78.41
2024-04-09,78.84
2024-04-08,78.65
2024-04-05,78.43
2024-04-04,78.33
2024-04-03,78.69
2024-04-02,78.57
2024-04-01,79.22
2024-03-31,79.52
2024-03-29,79.52
2024-03-28,79.52
2024-03-27,79.73
2024-03-26,79.27
2024-03-25,79.18
2024-03-22,78.87
2024-03-21,79.06
2024-03-20,78.65
2024-03-19,78.03
2024-03-18,78.05
2024-03-15,78.26
2024-03-14,78.47
2024-03-13,79.06
2024-03-12,78.95
2024-03-11,78.79
2024-03-08,78.75
2024-03-07,78.64
2024-03-06,78.20
2024-03-05,77.87
2024-03-04,78.58
2024-03-01,78.40
2024-02-29,78.19
2024-02-28,77.97
2024-02-27,77.92
2024-02-26,77.38
2024-02-23,77.07
2024-02-22,77.06
2024-02-21,76.84
2024-02-20,77.80
2024-02-16,78.17
2024-02-15,78.48
2024-02-14,78.25
2024-02-13,77.69
2024-02-12,78.54
2024-02-09,78.38
2024-02-08,78.04
2024-02-07,77.63
2024-02-06,77.46
2024-02-05,77.16
2024-02-02,77.49
2024-02-01,77.54
2024-01-31,77.35
2024-01-30,77.83
2024-01-29,78.03
2024-01-26,77.50
2024-01-25,77.52
2024-01-24,77.50
2024-01-23,77.74
2024-01-22,77.67
2024-01-19,77.28
2024-01-18,77.03
2024-01-17,76.90
2024-01-16,77.25
2024-01-12,77.33
2024-01-11,77.53
2024-01-10,77.61
2024-01-09,77.43
2024-01-08,77.48
2024-01-05,76.96
2024-01-04,76.88
2024-01-03,77.04
2024-01-02,77.75
2023-12-29,78.44
2023-12-28,78.78
2023-12-27,78.75
2023-12-26,78.49
2023-12-22,78.23
2023-12-21,78.12
2023-12-20,77.48
2023-12-19,78.17
2023-12-18,77.64
2023-12-15,77.60
2023-12-14,77.41
2023-12-13,76.70
2023-12-12,75.83
2023-12-11,75.79
2023-12-08,75.57
2023-12-07,75.45
2023-12-06,75.09
2023-12-05,75.12
2023-12-04,75.31
2023-12-01,75.19
2023-11-30,74.60
2023-11-29,74.46
2023-11-28,74.12
2023-11-27,73.96
2023-11-24,73.92
2023-11-22,73.75
2023-11-21,73.65
2023-11-20,73.92
2023-11-17,73.57
2023-11-16,73.31
2023-11-15,73.60
2023-11-14,73.29
2023-11-13,72.21
2023-11-10,72.11
2023-11-09,71.82
2023-11-08,72.28
2023-11-07,72.36
2023-11-06,72.10
2023-11-03,72.60
2023-11-02,71.81
2023-11-01,71.12
2023-10-31,71.10
2023-10-30,70.99
2023-10-27,71.10
2023-10-26,71.39
2023-10-25,71.61
2023-10-24,72.26
2023-10-23,71.92
2023-10-20,72.07
2023-10-19,72.53
2023-10-18,73.04
2023-10-17,73.61
2023-10-16,73.41
2023-10-13,73.08
2023-10-12,73.37
2023-10-11,73.82
